State,County,Year,TotalPpt,AverageTmp
New Mexico,Colfax,2003,342.6265088,9.235563409
New Mexico,Colfax,2004,606.2065424,8.289415201
New Mexico,Colfax,2005,471.3062671,8.783517087
New Mexico,Colfax,2006,481.5564465,9.009676355
New Mexico,Colfax,2007,435.3129544,8.743472645
New Mexico,Colfax,2008,434.6564054,8.500863358
New Mexico,Colfax,2009,370.8657805,8.870346722
New Mexico,Colfax,2010,446.4649894,9.224761552
New Mexico,Colfax,2011,342.6190368,9.451731936
New Mexico,Colfax,2012,280.307398,10.15322272
New Mexico,Colfax,2013,446.0813989,8.476252247
New Mexico,Colfax,2014,377.4697202,8.883685608
New Mexico,Colfax,2015,605.9320166,9.283083756
New Mexico,Colfax,2016,410.1209511,9.256700451
New Mexico,Colfax,2017,621.266925,9.861728245
New Mexico,Colfax,2018,374.8728643,9.524104151
New Mexico,Colfax,2019,414.2532401,8.573433746
New Mexico,Curry,1981,593.3206797,14.48202728
New Mexico,Curry,1982,380.0489817,13.48372939
New Mexico,Curry,1983,303.2113225,13.3293517
New Mexico,Curry,1984,581.8553197,13.21543148
New Mexico,Curry,1985,558.6640294,13.49710167
New Mexico,Curry,1986,593.8681611,14.06245276
New Mexico,Curry,1987,504.5378275,13.20121873
New Mexico,Curry,1988,512.0084834,13.43728784
New Mexico,Curry,1989,351.17215,13.93647936
New Mexico,Curry,1990,347.4335321,14.08288365
New Mexico,Curry,1991,588.9151991,13.72055385
New Mexico,Curry,1992,473.1475497,13.70870808
New Mexico,Curry,1993,367.5789425,13.64708045
New Mexico,Curry,1994,355.7282939,14.65476664
New Mexico,Curry,1995,366.8912889,14.52656451
New Mexico,Curry,1996,381.044443,14.62218156
New Mexico,Curry,1997,549.9640214,13.38245279
New Mexico,Curry,1998,371.8145388,14.93551664
New Mexico,Curry,1999,487.2927318,14.47891555
New Mexico,Curry,2000,452.007287,14.96076134
New Mexico,Curry,2001,340.9340682,14.59486771
New Mexico,Curry,2002,390.1390274,14.33531985
New Mexico,Curry,2003,390.3246843,14.79075603
New Mexico,Curry,2004,740.1879907,13.77381979
New Mexico,Curry,2005,472.9960313,14.33799536
New Mexico,Curry,2006,393.6297094,14.71480389
New Mexico,Curry,2007,478.644028,13.69649002
New Mexico,Curry,2008,450.4795061,13.79717086
New Mexico,Curry,2009,414.9265945,13.91324004
New Mexico,Curry,2010,502.8645352,14.17570812
New Mexico,Curry,2011,211.5774839,14.79075604
New Mexico,Curry,2012,204.7936319,15.47157519
New Mexico,Curry,2013,361.9173988,13.74391558
New Mexico,Curry,2014,392.8088325,13.77281449
New Mexico,Curry,2015,802.735983,14.02361767
New Mexico,Curry,2016,390.1537004,14.60979326
New Mexico,Curry,2017,583.8239061,14.8422454
New Mexico,Curry,2018,463.5311976,14.2883943
New Mexico,Curry,2019,571.3647451,14.17310173
New Mexico,De Baca,1981,358.7913536,14.73012927
New Mexico,De Baca,1982,303.3315405,13.85143209
New Mexico,De Baca,1983,245.9266546,13.77654921
New Mexico,De Baca,1984,425.665466,13.69246063
New Mexico,De Baca,1985,474.4043958,13.94007208
New Mexico,De Baca,1986,550.3055716,14.28176641
New Mexico,De Baca,1987,358.3108546,13.36508065
New Mexico,De Baca,1988,367.5175311,13.72045492
New Mexico,De Baca,1989,244.3986544,14.35583497
New Mexico,De Baca,1990,336.520579,14.26042352
New Mexico,De Baca,1991,523.2286481,13.82236354
New Mexico,De Baca,1992,325.6217387,13.84338922
New Mexico,De Baca,1993,326.5201935,13.97474352
New Mexico,De Baca,1994,282.6435188,14.80425497
New Mexico,De Baca,1995,225.6334936,14.81850641
New Mexico,De Baca,1996,296.5053857,14.78021784
New Mexico,De Baca,1997,558.2296783,13.40587208
New Mexico,De Baca,1998,326.2023179,14.78599212
New Mexico,De Baca,1999,434.3897289,14.53263783
New Mexico,De Baca,2000,304.4333541,14.97967782
New Mexico,De Baca,2001,237.5404453,14.721355
New Mexico,De Baca,2002,388.3041493,14.58677785
New Mexico,De Baca,2003,199.3262377,15.18347216
New Mexico,De Baca,2004,530.4819,14.10852351
New Mexico,De Baca,2005,396.0177413,14.70594072
New Mexico,De Baca,2006,337.0839069,15.08572357
New Mexico,De Baca,2007,286.3985941,14.1863921
New Mexico,De Baca,2008,319.760601,14.28136067
New Mexico,De Baca,2009,297.6673025,14.48723499
New Mexico,De Baca,2010,402.3806646,14.55446926
New Mexico,De Baca,2011,172.639497,15.01104644
New Mexico,De Baca,2012,144.0407413,15.81121789
New Mexico,De Baca,2013,351.8594447,14.36866065
New Mexico,De Baca,2014,395.5335073,14.39553494
New Mexico,De Baca,2015,614.2746021,14.61119211
New Mexico,De Baca,2016,299.8134483,15.32583786
New Mexico,De Baca,2017,452.4018615,15.64876077
New Mexico,De Baca,2018,371.8885322,15.07265216
New Mexico,De Baca,2019,314.1814494,14.814915
New Mexico,Dona Ana,1981,241.8082671,16.49287396
New Mexico,Dona Ana,1982,239.1132541,15.95812942
New Mexico,Dona Ana,1983,249.060262,15.6179419
New Mexico,Dona Ana,1984,385.5633127,15.66692353
New Mexico,Dona Ana,1985,338.2228728,15.65703935
New Mexico,Dona Ana,1986,366.0694948,16.05171584
New Mexico,Dona Ana,1987,265.3173762,15.13532607
New Mexico,Dona Ana,1988,273.810847,15.65709999
New Mexico,Dona Ana,1989,202.1674062,16.53764418
New Mexico,Dona Ana,1990,317.7387084,16.02898788
New Mexico,Dona Ana,1991,387.7036362,15.51451543
New Mexico,Dona Ana,1992,297.4911778,15.66929852
New Mexico,Dona Ana,1993,253.2974664,16.18761105
New Mexico,Dona Ana,1994,218.1416541,17.05301551
New Mexico,Dona Ana,1995,184.6809256,16.87516259
New Mexico,Dona Ana,1996,236.0648105,17.12789054
