State,County,Use,Year,Volume
New Mexico,Harding,Domestic,1982,10.949999999999996
New Mexico,Harding,Domestic,1983,10.949999999999996
New Mexico,Harding,Domestic,1984,10.949999999999996
New Mexico,Harding,Domestic,1985,10.949999999999996
New Mexico,Harding,Domestic,1986,10.949999999999998
New Mexico,Harding,Domestic,1987,10.949999999999998
New Mexico,Harding,Domestic,1988,10.949999999999998
New Mexico,Harding,Domestic,1989,10.949999999999998
New Mexico,Harding,Domestic,1990,10.95
New Mexico,Harding,Domestic,1991,10.949999999999998
New Mexico,Harding,Domestic,1992,10.949999999999998
New Mexico,Harding,Domestic,1993,10.949999999999998
New Mexico,Harding,Domestic,1994,10.949999999999998
New Mexico,Harding,Domestic,1995,10.949999999999996
New Mexico,Harding,Domestic,1996,10.949999999999996
New Mexico,Harding,Domestic,1997,10.949999999999996
New Mexico,Harding,Domestic,1998,10.949999999999996
New Mexico,Harding,Domestic,1999,10.949999999999996
New Mexico,Harding,Domestic,2000,10.949999999999996
New Mexico,Harding,Domestic,2001,10.949999999999996
New Mexico,Harding,Domestic,2002,10.949999999999996
New Mexico,Harding,Domestic,2003,10.949999999999996
New Mexico,Harding,Domestic,2004,10.949999999999996
New Mexico,Harding,Domestic,2005,10.949999999999996
New Mexico,Harding,Domestic,2006,10.219999999999997
New Mexico,Harding,Domestic,2007,9.489999999999997
New Mexico,Harding,Domestic,2008,8.76
New Mexico,Harding,Domestic,2009,8.03
New Mexico,Harding,Domestic,2010,7.3
New Mexico,Harding,Domestic,2011,7.3
New Mexico,Harding,Domestic,2012,7.3
New Mexico,Harding,Domestic,2013,7.3
New Mexico,Harding,Domestic,2014,7.3
New Mexico,Harding,Domestic,2015,7.3
New Mexico,Harding,Domestic,2016,7.3
New Mexico,Harding,Domestic,2017,7.3
New Mexico,Harding,Domestic,2018,7.3
New Mexico,Harding,Domestic,2019,7.3
New Mexico,Hidalgo,Domestic,1981,58.4
New Mexico,Hidalgo,Domestic,1982,58.4
New Mexico,Hidalgo,Domestic,1983,58.4
New Mexico,Hidalgo,Domestic,1984,58.4
New Mexico,Hidalgo,Domestic,1985,58.4
New Mexico,Hidalgo,Domestic,1986,55.48
New Mexico,Hidalgo,Domestic,1987,52.559999999999995
New Mexico,Hidalgo,Domestic,1988,49.64
New Mexico,Hidalgo,Domestic,1989,46.72
New Mexico,Hidalgo,Domestic,1990,43.8
New Mexico,Hidalgo,Domestic,1991,46.72
New Mexico,Hidalgo,Domestic,1992,49.64
New Mexico,Hidalgo,Domestic,1993,52.559999999999995
New Mexico,Hidalgo,Domestic,1994,55.48
New Mexico,Hidalgo,Domestic,1995,58.4
New Mexico,Hidalgo,Domestic,1996,59.13
New Mexico,Hidalgo,Domestic,1997,59.86
New Mexico,Hidalgo,Domestic,1998,60.59
New Mexico,Hidalgo,Domestic,1999,61.32
New Mexico,Hidalgo,Domestic,2000,62.050000000000004
New Mexico,Hidalgo,Domestic,2001,60.59
New Mexico,Hidalgo,Domestic,2002,59.13
New Mexico,Hidalgo,Domestic,2003,57.67
New Mexico,Hidalgo,Domestic,2004,56.21
New Mexico,Hidalgo,Domestic,2005,54.75
New Mexico,Hidalgo,Domestic,2006,52.559999999999995
New Mexico,Hidalgo,Domestic,2007,50.37
New Mexico,Hidalgo,Domestic,2008,48.18
New Mexico,Hidalgo,Domestic,2009,45.99
New Mexico,Hidalgo,Domestic,2010,43.8
New Mexico,Hidalgo,Domestic,2011,44.53
New Mexico,Hidalgo,Domestic,2012,45.26
New Mexico,Hidalgo,Domestic,2013,45.99
New Mexico,Hidalgo,Domestic,2014,46.72
New Mexico,Hidalgo,Domestic,2015,47.45
New Mexico,Hidalgo,Domestic,2016,47.45
New Mexico,Hidalgo,Domestic,2017,47.45
New Mexico,Hidalgo,Domestic,2018,47.45
New Mexico,Hidalgo,Domestic,2019,47.45
New Mexico,Lea,Domestic,1981,226.3
New Mexico,Lea,Domestic,1982,226.3
New Mexico,Lea,Domestic,1983,226.3
New Mexico,Lea,Domestic,1984,226.3
New Mexico,Lea,Domestic,1985,226.3
New Mexico,Lea,Domestic,1986,235.06
New Mexico,Lea,Domestic,1987,243.82000000000002
New Mexico,Lea,Domestic,1988,252.57999999999998
New Mexico,Lea,Domestic,1989,261.34
New Mexico,Lea,Domestic,1990,270.1
New Mexico,Lea,Domestic,1991,302.95
New Mexico,Lea,Domestic,1992,335.79999999999995
New Mexico,Lea,Domestic,1993,368.65
New Mexico,Lea,Domestic,1994,401.50000000000006
New Mexico,Lea,Domestic,1995,434.34999999999997
New Mexico,Lea,Domestic,1996,432.15999999999997
New Mexico,Lea,Domestic,1997,429.96999999999997
New Mexico,Lea,Domestic,1998,427.78
New Mexico,Lea,Domestic,1999,425.59
New Mexico,Lea,Domestic,2000,423.4
New Mexico,Lea,Domestic,2001,425.59
New Mexico,Lea,Domestic,2002,427.78
New Mexico,Lea,Domestic,2003,429.96999999999997
New Mexico,Lea,Domestic,2004,432.15999999999997
New Mexico,Lea,Domestic,2005,434.34999999999997
New Mexico,Lea,Domestic,2006,445.3
New Mexico,Lea,Domestic,2007,456.25
New Mexico,Lea,Domestic,2008,467.2
New Mexico,Lea,Domestic,2009,478.15000000000003
New Mexico,Lea,Domestic,2010,489.1
New Mexico,Lea,Domestic,2011,489.83000000000004
New Mexico,Lea,Domestic,2012,490.56
New Mexico,Lea,Domestic,2013,491.29
New Mexico,Lea,Domestic,2014,492.02000000000004
New Mexico,Lea,Domestic,2015,492.75000000000006
New Mexico,Lea,Domestic,2016,492.75000000000006
New Mexico,Lea,Domestic,2017,492.75000000000006
New Mexico,Lea,Domestic,2018,492.75000000000006
New Mexico,Lea,Domestic,2019,492.75000000000006
New Mexico,Lincoln,Domestic,1981,54.75
New Mexico,Lincoln,Domestic,1982,54.75
New Mexico,Lincoln,Domestic,1983,54.75
New Mexico,Lincoln,Domestic,1984,54.75
New Mexico,Lincoln,Domestic,1985,54.75
New Mexico,Lincoln,Domestic,1986,61.31999999999999
New Mexico,Lincoln,Domestic,1987,67.89
New Mexico,Lincoln,Domestic,1988,74.46
New Mexico,Lincoln,Domestic,1989,81.02999999999999
New Mexico,Lincoln,Domestic,1990,87.6
New Mexico,Lincoln,Domestic,1991,95.63000000000001
New Mexico,Lincoln,Domestic,1992,103.66
New Mexico,Lincoln,Domestic,1993,111.69
New Mexico,Lincoln,Domestic,1994,119.71999999999998
New Mexico,Lincoln,Domestic,1995,127.74999999999999
New Mexico,Lincoln,Domestic,1996,122.63999999999999
New Mexico,Lincoln,Domestic,1997,117.53
New Mexico,Lincoln,Domestic,1998,112.42
New Mexico,Lincoln,Domestic,1999,107.31000000000002
New Mexico,Lincoln,Domestic,2000,102.2
New Mexico,Lincoln,Domestic,2001,103.66000000000001
New Mexico,Lincoln,Domestic,2002,105.12000000000002
New Mexico,Lincoln,Domestic,2003,106.58
New Mexico,Lincoln,Domestic,2004,108.03999999999999
New Mexico,Lincoln,Domestic,2005,109.5
