State,County,Use,Year,Volume,Count
Texas,Martin,Hydraulic fracturing,2016,2111.897507,191
Texas,Martin,Hydraulic fracturing,2017,4560.6320322,321
Texas,Martin,Hydraulic fracturing,2018,7228.191717766666,463
Texas,Martin,Hydraulic fracturing,2019,10528.132466833333,578
Texas,Martin,Hydraulic fracturing,2020,6079.809161333334,331
Texas,Martin,Hydraulic fracturing,2021,7525.109195,388
Texas,McCulloch,Hydraulic fracturing,2020,0.015137999999999999,2
Texas,McCulloch,Hydraulic fracturing,2021,0.005359,1
Texas,Menard,Hydraulic fracturing,2012,0.015708,1
Texas,Menard,Hydraulic fracturing,2020,0.006823,1
Texas,Midland,Hydraulic fracturing,2011,1.01873,1
Texas,Midland,Hydraulic fracturing,2012,200.52209769138634,163
Texas,Midland,Hydraulic fracturing,2013,805.6426872,465
Texas,Midland,Hydraulic fracturing,2014,1863.4583965,519
Texas,Midland,Hydraulic fracturing,2015,3338.1897638263335,435
Texas,Midland,Hydraulic fracturing,2016,6138.724299661333,471
Texas,Midland,Hydraulic fracturing,2017,8299.5670095,498
Texas,Midland,Hydraulic fracturing,2018,12028.4535115,674
Texas,Midland,Hydraulic fracturing,2019,11776.6447555,624
Texas,Midland,Hydraulic fracturing,2020,8195.5102925,441
Texas,Midland,Hydraulic fracturing,2021,8489.064778,451
Texas,Mitchell,Hydraulic fracturing,2012,21.653248,61
Texas,Mitchell,Hydraulic fracturing,2013,68.948301,95
Texas,Mitchell,Hydraulic fracturing,2014,23.10547252,31
Texas,Mitchell,Hydraulic fracturing,2015,2.712575,10
Texas,Mitchell,Hydraulic fracturing,2017,0.407913,3
Texas,Mitchell,Hydraulic fracturing,2018,0.778571,9
Texas,Mitchell,Hydraulic fracturing,2019,0.051508,1
Texas,Mitchell,Hydraulic fracturing,2021,0.09326,1
Texas,Nolan,Hydraulic fracturing,2012,8.734498,6
Texas,Nolan,Hydraulic fracturing,2013,22.520539666666664,22
Texas,Nolan,Hydraulic fracturing,2014,10.742341,17
Texas,Nolan,Hydraulic fracturing,2015,0.5735223333333334,3
Texas,Nolan,Hydraulic fracturing,2016,0.144246,4
Texas,Nolan,Hydraulic fracturing,2017,0.092704,3
Texas,Nolan,Hydraulic fracturing,2018,0.663192,5
Texas,Nolan,Hydraulic fracturing,2019,6.362097,4
Texas,Nolan,Hydraulic fracturing,2020,15.343902,1
Texas,Nolan,Hydraulic fracturing,2021,9.624364,2
Texas,Pecos,Hydraulic fracturing,2012,16.609331,28
Texas,Pecos,Hydraulic fracturing,2013,35.9230005,39
Texas,Pecos,Hydraulic fracturing,2014,177.3654656,60
Texas,Pecos,Hydraulic fracturing,2015,466.3017531666667,55
Texas,Pecos,Hydraulic fracturing,2016,735.80331645,47
Texas,Pecos,Hydraulic fracturing,2017,1412.1207425,79
Texas,Pecos,Hydraulic fracturing,2018,2435.4817355,104
Texas,Pecos,Hydraulic fracturing,2019,3389.746415,147
Texas,Pecos,Hydraulic fracturing,2020,1411.680338,59
Texas,Pecos,Hydraulic fracturing,2021,1007.026415,37
Texas,Reagan,Hydraulic fracturing,2011,3.335699,2
Texas,Reagan,Hydraulic fracturing,2012,383.3567101675808,120
Texas,Reagan,Hydraulic fracturing,2013,1454.9070845,309
Texas,Reagan,Hydraulic fracturing,2014,2842.00591291,393
Texas,Reagan,Hydraulic fracturing,2015,2530.450876245,255
