State,County,Year,Precipitation_mm,Temperature_C
New Mexico,Santa Fe,2010,391.327123,10.14468504
New Mexico,Catron,2014,344.4117321,10.14506553
New Mexico,Colfax,2012,280.307398,10.15322272
New Mexico,Santa Fe,2002,294.3641221,10.16205064
New Mexico,McKinley,1989,179.8789439,10.16420074
New Mexico,Catron,2016,392.5382687,10.16679827
New Mexico,Sandoval,1995,299.9056406,10.1710807
New Mexico,Santa Fe,2007,347.4024635,10.1717245
New Mexico,Sandoval,1999,368.4257073,10.17274023
New Mexico,McKinley,2015,381.3835735,10.17328008
New Mexico,Sandoval,2009,319.925167,10.17916447
New Mexico,Cibola,2016,317.8993202,10.18063415
New Mexico,San Juan,1987,260.8720359,10.18095835
New Mexico,Sandoval,1989,251.281884,10.18129638
New Mexico,Cibola,1981,342.7298807,10.19124942
New Mexico,McKinley,2003,241.3077013,10.21428008
New Mexico,McKinley,1981,288.5670887,10.24012137
New Mexico,Santa Fe,2001,306.4404592,10.24738759
New Mexico,Los Alamos,2000,406.8383961,10.25268793
New Mexico,Cibola,2000,301.393889,10.25518296
New Mexico,Cibola,1996,338.3125463,10.25892552
New Mexico,Torrance,1983,389.7097105,10.2635898
New Mexico,Sandoval,2007,391.0770677,10.27098447
New Mexico,McKinley,2014,233.1179962,10.27708718
New Mexico,Sandoval,2019,336.2969358,10.28004149
New Mexico,Torrance,1992,379.8829282,10.28937216
New Mexico,Santa Fe,1996,445.1750682,10.29240907
New Mexico,San Juan,1983,305.082533,10.32089888
New Mexico,Sandoval,2010,372.2193593,10.32598802
New Mexico,Torrance,1984,438.903562,10.32682599
New Mexico,San Juan,1992,277.4976932,10.33050607
New Mexico,Los Alamos,2005,486.4447098,10.33500046
New Mexico,Torrance,1991,531.1106604,10.34688345
New Mexico,Torrance,1988,441.8362123,10.34991839
New Mexico,Cibola,2003,249.5255588,10.35058749
New Mexico,San Juan,2008,232.3865089,10.35556307
New Mexico,McKinley,2016,276.119367,10.35801024
New Mexico,Cibola,2018,267.3888567,10.35822538
New Mexico,Sandoval,2006,398.5825136,10.36937304
New Mexico,Torrance,2013,366.3483916,10.37875821
New Mexico,Torrance,2004,405.8269744,10.38188346
New Mexico,Cibola,2012,198.7239727,10.38334845
New Mexico,Los Alamos,2014,354.5668907,10.39043817
New Mexico,Los Alamos,2015,597.4587135,10.40118805
New Mexico,Catron,2012,262.0677487,10.40599748
New Mexico,Torrance,1982,360.6624337,10.40612783
New Mexico,Santa Fe,2014,313.4298359,10.40854887
New Mexico,San Juan,1984,253.8779898,10.41874771
New Mexico,Sandoval,2002,262.0053442,10.42173848
New Mexico,Union,1997,503.9250625,10.42830575
New Mexico,McKinley,2018,220.9426138,10.43820807
New Mexico,Torrance,1985,491.0498065,10.45473151
New Mexico,Catron,2018,360.7624704,10.45845796
New Mexico,Santa Fe,2006,405.7963308,10.46005069
New Mexico,San Juan,1993,284.3271052,10.46388899
New Mexico,Union,1983,274.5384447,10.47080927
New Mexico,Los Alamos,2006,480.8910866,10.48681298
New Mexico,Santa Fe,2005,397.1210581,10.48996466
New Mexico,Los Alamos,2007,533.3046474,10.4979381
New Mexico,Santa Fe,2015,496.597945,10.51978902
New Mexico,San Juan,2011,198.6478645,10.53053458
New Mexico,San Juan,1988,263.5462084,10.53168701
New Mexico,Union,1993,437.7842921,10.54915842
New Mexico,Sandoval,1996,329.6359688,10.55283829
New Mexico,Santa Fe,2000,368.3564718,10.56109732
New Mexico,San Juan,1990,307.4435194,10.57670063
New Mexico,San Juan,1985,310.4914893,10.57991128
New Mexico,Sandoval,2001,276.8588989,10.58222866
New Mexico,San Juan,2013,251.5062633,10.58680966
New Mexico,McKinley,2012,172.3994295,10.59168181
New Mexico,Los Alamos,2003,338.3748293,10.60837534
New Mexico,Sandoval,2005,350.8863124,10.615439
New Mexico,Sandoval,1981,345.5690019,10.62629998
New Mexico,Torrance,1986,558.2958764,10.62960419
New Mexico,San Juan,1997,337.3906981,10.63973284
New Mexico,Union,1984,430.9365608,10.65145313
New Mexico,San Miguel,1987,430.2686743,10.65786243
New Mexico,Santa Fe,1981,371.0700675,10.69914387
New Mexico,Union,1982,414.2159144,10.70051279
New Mexico,Santa Fe,2016,326.0635204,10.72032666
New Mexico,Torrance,2008,393.1320249,10.72231057
New Mexico,Sandoval,2015,468.8255011,10.72455843
New Mexico,Sandoval,2014,274.6912593,10.75653171
New Mexico,Sandoval,2000,318.9302486,10.76180264
New Mexico,Torrance,1990,421.1707518,10.76532701
New Mexico,San Juan,2019,232.9468933,10.76725949
New Mexico,Torrance,1998,395.9783026,10.774366
New Mexico,San Miguel,1997,611.1132655,10.78113715
New Mexico,San Juan,2009,175.8252486,10.78329915
New Mexico,Cibola,2017,275.4360287,10.79409669
New Mexico,Union,1987,404.7136554,10.79984264
New Mexico,San Juan,2010,299.6149618,10.80172045
New Mexico,Catron,2017,309.7706272,10.81033484
New Mexico,Los Alamos,2016,371.0995159,10.81281298
New Mexico,Torrance,2001,303.2364763,10.81327156
New Mexico,Torrance,2007,317.5977993,10.82443582
New Mexico,Santa Fe,2003,250.6801842,10.83005785
New Mexico,McKinley,2017,263.2756785,10.83543887
New Mexico,San Miguel,1988,481.8725496,10.8362883
New Mexico,Torrance,2019,384.2703856,10.90060421
New Mexico,San Miguel,1983,352.4425195,10.90633045
New Mexico,Sandoval,2003,263.2429251,10.9080219
New Mexico,San Juan,2004,232.4528349,10.9084999
New Mexico,Torrance,1999,378.3974323,10.9157993
New Mexico,San Juan,1998,283.6867233,10.91878615
New Mexico,Union,1991,507.5104538,10.9188514
New Mexico,Union,1988,420.810248,10.92077419
New Mexico,Union,1985,437.3858187,10.92614262
New Mexico,Torrance,1993,332.7262949,10.9298568
New Mexico,Torrance,2002,337.9763938,10.93589991
New Mexico,Bernalillo,1987,351.3471139,10.94368501
New Mexico,Torrance,2011,279.7604397,10.95805597
New Mexico,San Miguel,1984,478.3577066,10.96003249
New Mexico,Sandoval,2016,286.0112629,10.96194526
New Mexico,San Juan,1986,402.3093184,10.97571427
