Year,Source Type,UseType,County,Estimated,Volume,RelatedtoCOG
2009,Groundwater,Irrigation,COCHRAN,Yes,32352768237,No
2010,Groundwater,Irrigation,HOCKLEY,Yes,32240675493,No
2017,Groundwater,Irrigation,HOCKLEY,Yes,32102188818,No
2007,Groundwater,Irrigation,TERRY,Yes,31996938945,No
2014,Groundwater,Irrigation,COCHRAN,Yes,31981623948,No
2018,Groundwater,Irrigation,COCHRAN,Yes,31939915020,No
2009,Groundwater,Irrigation,UVALDE,Yes,31543028502,No
2006,Groundwater,Irrigation,BAILEY,Yes,31289516424,No
2007,Groundwater,Irrigation,HUDSPETH,Yes,31280718446,No
2002,Groundwater,Irrigation,LYNN,Yes,30694186647,No
2015,Groundwater,Irrigation,YOAKUM,Yes,30541362528,No
2008,Groundwater,Irrigation,HUDSPETH,Yes,30342919269,No
2009,Groundwater,Irrigation,PECOS,Yes,29601934095,No
2016,Groundwater,Irrigation,LYNN,Yes,29557292508,No
2005,Groundwater,Irrigation,HOCKLEY,Yes,29442918807,No
2013,Groundwater,Irrigation,BAILEY,Yes,29125539933,No
2015,Groundwater,Irrigation,TERRY,Yes,28907545614,No
2014,Groundwater,Irrigation,LYNN,Yes,28872353706,No
2002,Groundwater,Irrigation,UVALDE,Yes,28802621592,No
2009,Groundwater,Irrigation,LYNN,Yes,28677494808,No
2013,Groundwater,Irrigation,LYNN,Yes,28605481737,No
2004,Groundwater,Irrigation,LYNN,Yes,28539008133,No
2006,Groundwater,Irrigation,CROSBY,Yes,28536401326,No
2006,Groundwater,Irrigation,COCHRAN,Yes,28299833499,No
2003,Groundwater,Irrigation,LYNN,Yes,28157110761,No
2008,Groundwater,Irrigation,TOM GREEN,Yes,27961600161,No
2016,Groundwater,Irrigation,COCHRAN,Yes,27730571802,No
2017,Groundwater,Irrigation,COCHRAN,Yes,27703526169,No
2017,Groundwater,Irrigation,DAWSON,Yes,27306313800,No
2015,Groundwater,Irrigation,HUDSPETH,Yes,27251896683,No
2017,Groundwater,Irrigation,HUDSPETH,Yes,27149579469,No
2006,Groundwater,Irrigation,HUDSPETH,Yes,27143062448,No
2001,Groundwater,Irrigation,UVALDE,Yes,27135567876,No
2014,Groundwater,Irrigation,HUDSPETH,Yes,27055734381,No
2011,Groundwater,Irrigation,UVALDE,Yes,27035205768,No
2015,Groundwater,Irrigation,FLOYD,Yes,26791143369,No
2018,Groundwater,Irrigation,BAILEY,Yes,26767682097,No
2013,Groundwater,Irrigation,HUDSPETH,Yes,26708377215,No
2018,Groundwater,Irrigation,HUDSPETH,Yes,26504068638,No
2018,Groundwater,Irrigation,DAWSON,Yes,26112395736,No
2017,Groundwater,Irrigation,FLOYD,Yes,25811309413,No
2010,Groundwater,Irrigation,DAWSON,Yes,25733756874,No
2010,Groundwater,Irrigation,CROSBY,Yes,25574741586,No
2009,Surface,Irrigation,HUDSPETH,Yes,25535313615,No
2014,Groundwater,Irrigation,CROSBY,Yes,25503380217,No
2018,Groundwater,Irrigation,LYNN,Yes,25077818811,No
2017,Groundwater,Irrigation,REEVES,Yes,24906421185,No
2014,Groundwater,Irrigation,BAILEY,Yes,24873184383,No
2008,Groundwater,Irrigation,UVALDE,Yes,24444038616,No
2008,Surface,Irrigation,HUDSPETH,Yes,24435240639,No
2015,Groundwater,Irrigation,COCHRAN,Yes,24285349179,No
2005,Surface,Irrigation,REEVES,Yes,23884878300,No
2005,Groundwater,Irrigation,CROSBY,Yes,23807651613,No
2001,Surface,Irrigation,HUDSPETH,Yes,23746065774,No
2006,Groundwater,Irrigation,UVALDE,Yes,23745414072,No
2000,Groundwater,Irrigation,PECOS,Yes,23595522612,No
2012,Groundwater,Irrigation,UVALDE,Yes,23546970813,No
2005,Groundwater,Irrigation,COCHRAN,Yes,23147477487,No
2016,Groundwater,Irrigation,HUDSPETH,Yes,22903740939,No
2006,Surface,Irrigation,REEVES,Yes,22809570000,No
2010,Surface,Irrigation,HUDSPETH,Yes,22809570000,No
2017,Groundwater,Irrigation,LYNN,Yes,22593856638,No
2007,Groundwater,Irrigation,TOM GREEN,Yes,22414312737,No
2003,Groundwater,Irrigation,UVALDE,Yes,22099214820,No
2007,Groundwater,Irrigation,DAWSON,Yes,22071843336,No
2014,Groundwater,Irrigation,DAWSON,Yes,21807904026,No
2009,Groundwater,Irrigation,TOM GREEN,Yes,21729699786,No
2010,Groundwater,Irrigation,COCHRAN,Yes,21664203735,No
2004,Groundwater,Irrigation,UVALDE,Yes,21636180549,No
2009,Groundwater,Irrigation,HUDSPETH,Yes,21461524413,No
2007,Surface,Irrigation,REEVES,Yes,21399612723,No
2015,Groundwater,Irrigation,LYNN,Yes,21371589537,No
2005,Groundwater,Irrigation,BAILEY,Yes,21168258513,No
2016,Groundwater,Irrigation,BAILEY,Yes,21109605333,No
2001,Groundwater,Irrigation,PECOS,Yes,20937556006,No
2016,Groundwater,Irrigation,DAWSON,Yes,20911162074,No
2000,Groundwater,Irrigation,REEVES,Yes,20602907029,No
2010,Groundwater,Irrigation,HUDSPETH,Yes,20506780982,No
2006,Groundwater,Irrigation,PECOS,Yes,20172132006,No
2010,Groundwater,Irrigation,BAILEY,Yes,20016701079,No
2002,Groundwater,Irrigation,PECOS,Yes,19960003006,No
2017,Groundwater,Irrigation,CROSBY,Yes,19831291859,No
2005,Groundwater,Irrigation,LYNN,Yes,19807830588,No
2006,Groundwater,Irrigation,LYNN,Yes,19618185306,No
2005,Groundwater,Irrigation,UVALDE,Yes,18927707037,No
2018,Groundwater,Irrigation,CROSBY,Yes,18890885874,No
2010,Groundwater,Irrigation,GLASSCOCK,Yes,18626946564,No
2000,Groundwater,Irrigation,UVALDE,Yes,18562753917,No
2008,Groundwater,Irrigation,PECOS,Yes,18545483814,No
2001,Groundwater,Irrigation,REEVES,Yes,18530168817,No
2007,Surface,Irrigation,HUDSPETH,Yes,18237880470,No
2012,Groundwater,Irrigation,CULBERSON,Yes,18078865181,No
2011,Surface,Irrigation,PECOS,Yes,17921805000,No
2002,Surface,Irrigation,HUDSPETH,Yes,17913007023,No
2015,Groundwater,Irrigation,BAILEY,Yes,17906164152,No
2007,Groundwater,Irrigation,PECOS,Yes,17779082262,No
2016,Groundwater,Irrigation,REEVES,Yes,17663079306,No
2002,Groundwater,Irrigation,REEVES,Yes,17419342757,No
2015,Groundwater,Irrigation,DAWSON,Yes,17387409360,No
2011,Groundwater,Irrigation,GLASSCOCK,Yes,17351565751,No
2010,Groundwater,Irrigation,LYNN,Yes,17350588197,No
2014,Groundwater,Irrigation,UVALDE,Yes,17230023327,No
2012,Groundwater,Irrigation,TOM GREEN,Yes,17194831419,No
2010,Groundwater,Irrigation,UVALDE,Yes,16995084756,No
2004,Surface,Irrigation,REEVES,Yes,16986938481,No
2018,Groundwater,Irrigation,TOM GREEN,Yes,16855294677,No
2017,Groundwater,Irrigation,BAILEY,Yes,16826619789,No
2014,Groundwater,Irrigation,GLASSCOCK,Yes,16643491528,No
2017,Groundwater,Irrigation,TOM GREEN,Yes,16312752762,No
2013,Groundwater,Irrigation,GLASSCOCK,Yes,16156344283,No
2013,Groundwater,Irrigation,UVALDE,Yes,16127669394,No
2015,Groundwater,Irrigation,TOM GREEN,Yes,15635308533,No
2016,Groundwater,Irrigation,UVALDE,Yes,15603700986,No
2011,Groundwater,Irrigation,REEVES,Yes,15367459011,No
2006,Groundwater,Irrigation,GLASSCOCK,Yes,15177813729,No
2018,Groundwater,Irrigation,REEVES,Yes,15086901300,No
2009,Groundwater,Irrigation,GLASSCOCK,Yes,14940920053,No
2015,Groundwater,Irrigation,CULBERSON,Yes,14885199529,No
2012,Groundwater,Irrigation,GLASSCOCK,Yes,14727487647,No
2003,Groundwater,Irrigation,GLASSCOCK,Yes,14693273292,No
2009,Groundwater,Irrigation,REEVES,Yes,14488964714,No
2004,Groundwater,Irrigation,GLASSCOCK,Yes,14436828555,No
2005,Groundwater,Irrigation,GLASSCOCK,Yes,14412715581,No
2008,Groundwater,Irrigation,GLASSCOCK,Yes,13972165029,No
2018,Groundwater,Irrigation,UVALDE,Yes,13955872479,No
2004,Groundwater,Irrigation,PECOS,Yes,13841498778,No
2013,Surface,Irrigation,REEVES,Yes,13810217082,No
2010,Groundwater,Irrigation,CULBERSON,Yes,13768182303,No
2014,Groundwater,Irrigation,TOM GREEN,Yes,13761991134,No
2017,Groundwater,Irrigation,CULBERSON,Yes,13725821672,No
2013,Groundwater,Irrigation,MARTIN,Yes,13674988917,No
2000,Surface,Irrigation,HUDSPETH,Yes,13641100413,No
2005,Groundwater,Irrigation,PECOS,Yes,13491534803,No
2010,Groundwater,Irrigation,REEVES,Yes,13325350793,No
2014,Groundwater,Irrigation,REEVES,Yes,13240303683,No
2011,Surface,Irrigation,HUDSPETH,Yes,13034040000,No
2012,Groundwater,Irrigation,REEVES,Yes,12972454161,No
2016,Groundwater,Irrigation,TOM GREEN,Yes,12863945779,No
2017,Groundwater,Irrigation,GLASSCOCK,Yes,12844720569,No
2009,Groundwater,Irrigation,CULBERSON,Yes,12574264239,No
2007,Groundwater,Irrigation,ANDREWS,Yes,12453699369,No
2010,Groundwater,Irrigation,TOM GREEN,Yes,12330201841,No
2007,Groundwater,Irrigation,GLASSCOCK,Yes,12322381415,No
2003,Groundwater,Irrigation,PECOS,Yes,12266335044,No
2014,Groundwater,Irrigation,MARTIN,Yes,12262424832,No
2015,Groundwater,Irrigation,CROSBY,Yes,12202794100,No
2016,Groundwater,Irrigation,GLASSCOCK,Yes,12179006976,No
2015,Groundwater,Irrigation,REEVES,Yes,12072453700,No
2009,Groundwater,Irrigation,MARTIN,Yes,12046711470,No
2004,Groundwater,Irrigation,REEVES,Yes,12033025728,No
2007,Groundwater,Irrigation,UVALDE,Yes,11942113299,No
2018,Groundwater,Irrigation,GLASSCOCK,Yes,11910179901,No
2015,Groundwater,Irrigation,UVALDE,Yes,11809817793,No
2010,Groundwater,Irrigation,MARTIN,Yes,11782772160,No
2018,Groundwater,Irrigation,CULBERSON,Yes,11654386866,No
2011,Groundwater,Irrigation,CULBERSON,Yes,11605835066,No
2015,Groundwater,Irrigation,MARTIN,Yes,11563800288,No
2000,Groundwater,Irrigation,GLASSCOCK,Yes,11553373056,No
2016,Groundwater,Irrigation,CULBERSON,Yes,11526327422,No
2011,Groundwater,Irrigation,MARTIN,Yes,11385233940,No
2008,Groundwater,Irrigation,CULBERSON,Yes,11255219391,No
2013,Groundwater,Irrigation,TOM GREEN,Yes,11088057828,No
2017,Groundwater,Irrigation,UVALDE,Yes,10879187337,No
2013,Groundwater,Irrigation,REEVES,Yes,10856703618,No
2006,Groundwater,Irrigation,TOM GREEN,Yes,10781106187,No
2003,Groundwater,Irrigation,ANDREWS,Yes,10613944623,No
2018,Reuse,Mining,REEVES,Yes,10426906149,Yes
2012,Groundwater,Irrigation,MARTIN,Yes,10348050207,No
2005,Groundwater,Irrigation,ANDREWS,Yes,10038817608,No
2006,Groundwater,Irrigation,ANDREWS,Yes,9925095609,No
2008,Groundwater,Irrigation,ANDREWS,Yes,9800294676,No
2001,Groundwater,Irrigation,ANDREWS,Yes,9580671102,No
2014,Groundwater,Irrigation,CULBERSON,Yes,9547760152,No
2018,Groundwater,Irrigation,MARTIN,Yes,9536355366,No
2002,Groundwater,Irrigation,TOM GREEN,Yes,9293270520,No
2008,Groundwater,Irrigation,MARTIN,Yes,9280888182,No
2016,Groundwater,Irrigation,MARTIN,Yes,9203661495,No
2002,Groundwater,Irrigation,ANDREWS,Yes,9159345759,No
2005,Groundwater,Irrigation,TOM GREEN,Yes,9061590459,No
2004,Groundwater,Irrigation,ANDREWS,Yes,8932553463,No
2008,Surface,Irrigation,REEVES,Yes,8787549768,No
2017,Groundwater,Irrigation,MARTIN,Yes,8762133390,No
2001,Groundwater,Irrigation,TOM GREEN,Yes,8718469356,No
2013,Groundwater,Irrigation,CULBERSON,Yes,8688165214,No
2002,Groundwater,Irrigation,GLASSCOCK,Yes,8601814698,No
2011,Groundwater,Irrigation,REAGAN,Yes,8590735764,No
2018,Groundwater,Mining,MIDLAND,Yes,8473429404,Yes
2003,Groundwater,Irrigation,TOM GREEN,Yes,8436934092,No
2007,Groundwater,Irrigation,MARTIN,Yes,8430417072,No
2001,Groundwater,Irrigation,GLASSCOCK,Yes,8392618356,No
2015,Groundwater,Irrigation,GLASSCOCK,Yes,8235558174,No
2000,Groundwater,Irrigation,CULBERSON,Yes,8069700014,No
2000,Groundwater,Irrigation,MIDLAND,Yes,7982046096,No
2014,Groundwater,Irrigation,REAGAN,Yes,7945550784,No
2004,Groundwater,Irrigation,TOM GREEN,Yes,7936426956,No
2009,Groundwater,Irrigation,ANDREWS,Yes,7870930905,No
2012,Groundwater,Irrigation,ANDREWS,Yes,7715174127,No
2010,Groundwater,Irrigation,ANDREWS,Yes,7609924254,No
2006,Surface,Irrigation,HUDSPETH,Yes,7494573000,No
2017,Reuse,Mining,REEVES,Yes,7361625792,Yes
2001,Groundwater,Irrigation,MIDLAND,Yes,7223464968,No
2017,Groundwater,Irrigation,REAGAN,Yes,7216622097,No
2003,Groundwater,Irrigation,REEVES,Yes,7181104338,No
2003,Groundwater,Irrigation,CULBERSON,Yes,7172306362,No
2005,Groundwater,Irrigation,CULBERSON,Yes,7157968916,No
2011,Groundwater,Irrigation,ANDREWS,Yes,7154058705,No
2002,Groundwater,Irrigation,CULBERSON,Yes,7083349037,No
2005,Surface,Irrigation,HUDSPETH,Yes,6951379383,No
2011,Groundwater,Irrigation,MIDLAND,Yes,6902175882,No
2018,Groundwater,Irrigation,REAGAN,Yes,6868939080,No
2009,Groundwater,Irrigation,MIDLAND,Yes,6840590043,No
2002,Groundwater,Irrigation,MIDLAND,Yes,6826578450,No
2006,Groundwater,Irrigation,MIDLAND,Yes,6740879637,No
2006,Groundwater,Irrigation,CULBERSON,Yes,6703406771,No
2000,Groundwater,Irrigation,TOM GREEN,Yes,6687114222,No
2012,Groundwater,Irrigation,MIDLAND,Yes,6648012102,No
