State,County,Year,Population
Texas,Coke,1982,3546
Texas,Coleman,1982,10578
Texas,Collin,1982,164703
Texas,Collingsworth,1982,4596
Texas,Colorado,1982,19884
Texas,Comal,1982,39057
Texas,Comanche,1982,13119
Texas,Concho,1982,3096
Texas,Cooke,1982,28894
Texas,Coryell,1982,59496
Texas,Cottle,1982,2845
Texas,Crane,1982,5115
Texas,Crockett,1982,5155
Texas,Crosby,1982,8560
Texas,Culberson,1982,3574
Texas,Dallam,1982,6587
Texas,Dallas,1982,1637637
Texas,Dawson,1982,16645
Texas,Deaf Smith,1982,20566
Texas,Delta,1982,4855
Texas,Denton,1982,166463
Texas,DeWitt,1982,19670
Texas,Dickens,1982,3317
Texas,Dimmit,1982,11948
Texas,Donley,1982,4169
Texas,Duval,1982,13083
Texas,Eastland,1982,20841
Texas,Ector,1982,135501
Texas,Edwards,1982,2218
Texas,Ellis,1982,62621
Texas,El Paso,1982,511892
Texas,Erath,1982,23921
Texas,Falls,1982,18321
Texas,Fannin,1982,24324
Texas,Fayette,1982,20962
Texas,Fisher,1982,5833
Texas,Floyd,1982,9526
Texas,Foard,1982,2125
Texas,Fort Bend,1982,157335
Texas,Franklin,1982,7259
Texas,Freestone,1982,15825
Texas,Frio,1982,14155
Texas,Gaines,1982,14011
Texas,Galveston,1982,208781
Texas,Garza,1982,5802
Texas,Gillespie,1982,14409
Texas,Glasscock,1982,1298
Texas,Goliad,1982,5541
Texas,Gonzales,1982,18569
Texas,Gray,1982,28243
Texas,Grayson,1982,91857
Texas,Gregg,1982,109624
Texas,Grimes,1982,15659
Texas,Guadalupe,1982,50038
Texas,Hale,1982,38023
Texas,Hall,1982,5226
Texas,Hamilton,1982,8239
Texas,Hansford,1982,6389
Texas,Hardeman,1982,6472
Texas,Hardin,1982,42235
Texas,Harris,1982,2696632
Texas,Harrison,1982,55528
Texas,Hartley,1982,3992
Texas,Haskell,1982,7657
Texas,Hays,1982,43502
Texas,Hemphill,1982,6427
