State,County,Year,Volume,Count
Texas,Crane,2013,23891952,9
Texas,Crane,2015,7360817,9
Texas,Crockett,2013,78989778,9
Texas,Crockett,2014,68171918,9
Texas,Crockett,2015,92535660,9
Texas,Crockett,2017,145808922,9
Texas,Crosby,2014,421293,9
Texas,Crosby,2015,416901,9
Texas,Ector,2002,263630,9
Texas,Ector,2004,365500,9
Texas,Ector,2009,1531530,9
Texas,Ector,2012,918079,9
Texas,Ector,2012,1375495,9
Texas,Ector,2012,1153511,9
Texas,Ector,2012,1784654,9
Texas,Ector,2013,1008210,9
Texas,Ector,2013,2217220,9
Texas,Ector,2013,16909536,9
Texas,Ector,2014,6443848,9
Texas,Ector,2014,3988740,9
Texas,Ector,2014,4590285,9
Texas,Ector,2014,3305674,9
Texas,Ector,2014,17535126,9
Texas,Ector,2017,17662470,9
Texas,Ector,2018,16905672,9
New Mexico,Eddy,2001,1839060,9
New Mexico,Eddy,2001,1391875,9
New Mexico,Eddy,2004,1282127,9
New Mexico,Eddy,2004,314290,9
New Mexico,Eddy,2009,4475701,9
New Mexico,Eddy,2009,3721662,9
New Mexico,Eddy,2010,8227732,9
New Mexico,Eddy,2010,2846267,9
New Mexico,Eddy,2011,1541690,9
New Mexico,Eddy,2011,1318841,9
New Mexico,Eddy,2011,3591727,9
New Mexico,Eddy,2011,5966729,9
New Mexico,Eddy,2012,3073544,9
New Mexico,Eddy,2012,1618890,9
New Mexico,Eddy,2012,2174851,9
New Mexico,Eddy,2012,5570413,9
New Mexico,Eddy,2012,4407181,9
New Mexico,Eddy,2013,4997916,9
New Mexico,Eddy,2013,4064718,9
New Mexico,Eddy,2013,9890478,9
New Mexico,Eddy,2013,10129644,9
New Mexico,Eddy,2013,7776736,9
New Mexico,Eddy,2014,6815130,9
New Mexico,Eddy,2014,1509028,9
New Mexico,Eddy,2015,913542,9
New Mexico,Eddy,2017,146611080,9
Texas,Gaines,2003,935500,9
Texas,Gaines,2004,734906.2,9
Texas,Gaines,2012,4190842,9
Texas,Gaines,2017,955251,9
Texas,Gaines,2017,863967,9
Texas,Glasscock,2012,7612373,9
Texas,Glasscock,2012,7245723,9
Texas,Glasscock,2015,68628840,9
Texas,Glasscock,2018,136782786,9
Texas,Howard,2000,144110,9
Texas,Howard,2017,142132872,9
Texas,Irion,2013,76289052,9
New Mexico,Lea,2004,367535,9
New Mexico,Lea,2009,2615338,9
New Mexico,Lea,2010,3352323,9
New Mexico,Lea,2011,3807168,9
New Mexico,Lea,2014,2418836,9
New Mexico,Lea,2018,62185872,9
Texas,Loving,2015,54512407,9
Texas,Loving,2018,64432452,9
Texas,Loving,2018,97577214,9
Texas,Martin,2012,13898724,9
Texas,Martin,2016,146596632,9
Texas,Martin,2016,82474056,9
Texas,Martin,2017,81174240,9
Texas,Martin,2017,82731558,9
Texas,Martin,2017,151024566,9
Texas,Martin,2018,133521234,9
Texas,Martin,2018,89522202,9
Texas,Martin,2018,149601270,9
Texas,Midland,2012,14904808,9
