"Use","YearMonth","Mean.estimate","Mean.conf.low","Mean.conf.high","P50.estimate","P5.estimate","P95.estimate","Units"
"Fracturing","202005",19.045755,14.078987,24.012522,21.125965,13.450488,26.904097,
"Fracturing","202006",13.092776,7.613835,18.571717,12.463038,10.61146,31.946002,
"Fracturing","202007",16.474511,12.463285,20.485737,16.097039,0.535718,24.003042,
"Fracturing","202008",18.907864,17.157623,20.658106,19.904412,17.298313,22.194257,
"Fracturing","202009",17.089345,14.942388,19.236302,17.153641,13.60961,21.723627,
"Fracturing","202010",17.151763,14.678755,19.624771,19.078725,7.342335,22.078426,
"Fracturing","202011",17.428959,15.720483,19.137435,17.232328,1.236299,20.408858,
"Fracturing","202012",15.695172,13.559677,17.830667,15.648374,0.426445,24.011225,
"Fracturing","202101",17.594541,15.942953,19.24613,17.347846,0.44459,24.37672,
"Fracturing","202102",17.496811,15.184532,19.80909,19.095649,0.405013,21.889299,
"Fracturing","202103",17.029502,15.434266,18.624738,18.401047,4.329508,18.485998,
"Fracturing","202104",16.496525,14.778438,18.214612,17.096223,11.330455,25.084204,
"Fracturing","202105",18.198262,16.118795,20.277729,17.2779,11.461115,26.683611,
"Fracturing","202106",17.00198,14.983982,19.019978,17.450382,7.952805,24.786873,
"Fracturing","202107",18.365886,16.762103,19.969669,19.561532,1.025191,22.127693,
"Fracturing","202108",19.598845,16.823851,22.37384,20.6131,16.584532,27.288182,
"Fracturing","202109",19.208548,16.738851,21.678246,20.857734,7.908729,26.716152,
"Fracturing","202110",20.293829,17.489927,23.097731,19.549091,5.639732,28.920236,
"Fracturing","202111",28.217027,17.467511,38.966543,18.986259,18.986259,40.84307,
"Cementing","All",0.013145,0.013068,0.013222,0.013936,0.007088,0.017956,
"Cementing","201101",,,,0.015362,0.015362,0.015362,
"Cementing","201102",,,,0.015566,0.015566,0.015566,
"Cementing","201104",,,,0.015,0.015,0.01611,
"Cementing","201105",,,,0.0141,0.010815,0.016776,
"Cementing","201107",,,,0.014024,0.014024,0.015525,
"Cementing","201108",,,,0.015958,0.015958,0.016638,
"Cementing","201109",,,,0.014382,0.0108,0.018,
"Cementing","201110",0.02095,0.009994,0.031907,0.02007,0.02007,0.02007,
"Cementing","201111",,,,0.017244,0.014162,0.019762,
"Cementing","201112",0.015804,0.008176,0.023432,0.009842,0.009842,0.015312,
"Cementing","201201",0.008684,5.54e-4,0.016813,0.008722,0.008722,0.008722,
"Cementing","201202",0.019627,0.01654,0.022714,0.017354,0.017354,0.019622,
"Cementing","201203",0.016224,0.014674,0.017775,0.016958,0.003189,0.017154,
"Cementing","201204",0.01601,0.013776,0.018245,0.016765,3.03e-4,0.018334,
"Cementing","201205",0.009418,0.006583,0.012253,0.015662,-7.16e-4,0.018,
"Cementing","201206",0.008929,0.006798,0.011059,0.013339,6.7e-5,0.016489,
"Cementing","201207",0.014251,0.012287,0.016215,0.016332,0.00821,0.016332,
"Cementing","201208",0.009808,0.008554,0.011061,0.014807,0.004693,0.016919,
"Cementing","201209",0.008081,0.007257,0.008905,0.014584,0.004692,0.01695,
"Cementing","201210",0.009429,0.008626,0.010231,0.015576,0.004828,0.016805,
"Cementing","201211",0.010645,0.009881,0.011408,0.014594,0.005425,0.016455,
"Cementing","201212",0.01211,0.011179,0.01304,0.015762,0.00458,0.017036,
"Cementing","201301",0.01155,0.010735,0.012365,0.015843,0.00652,0.017476,
"Cementing","201302",0.011112,0.010272,0.011952,0.014618,0.004042,0.017374,
"Cementing","201303",0.01051,0.009706,0.011314,0.015685,0.004807,0.016222,
"Cementing","201304",0.010878,0.010019,0.011736,0.01439,0.004323,0.016896,
"Cementing","201305",0.010808,0.009994,0.011621,0.01328,0.005222,0.0173,
"Cementing","201306",0.011078,0.010268,0.011889,0.012663,0.005905,0.017352,
"Cementing","201307",0.010523,0.00972,0.011327,0.011237,0.005641,0.01693,
"Cementing","201308",0.011613,0.010891,0.012335,0.011241,0.00544,0.016655,
"Cementing","201309",0.011453,0.010693,0.012214,0.013192,0.005808,0.017327,
"Cementing","201310",0.01007,0.009309,0.01083,0.010469,0.004999,0.017885,
"Cementing","201311",0.012633,0.011798,0.013469,0.012992,0.005874,0.017545,
"Cementing","201312",0.010188,0.009285,0.011092,0.012356,0.005422,0.0171,
"Cementing","201401",0.011251,0.010361,0.012141,0.013224,0.007106,0.017826,
"Cementing","201402",0.012135,0.011249,0.013021,0.012418,0.007384,0.01887,
"Cementing","201403",0.010667,0.009894,0.011439,0.011764,0.005787,0.017242,
"Cementing","201404",0.0118,0.010976,0.012623,0.01286,0.006367,0.017374,
"Cementing","201405",0.010988,0.010211,0.011766,0.011657,0.005641,0.017355,
"Cementing","201406",0.01129,0.010535,0.012045,0.013279,0.006051,0.018008,
"Cementing","201407",0.011042,0.010307,0.011777,0.011707,0.006349,0.017214,
"Cementing","201408",0.01195,0.011155,0.012744,0.013765,0.006802,0.01739,
"Cementing","201409",0.01131,0.01052,0.012099,0.012269,0.005868,0.018187,
"Cementing","201410",0.012684,0.011955,0.013412,0.014336,0.006846,0.017598,
"Cementing","201411",0.011092,0.010332,0.011851,0.013313,0.006843,0.016901,
"Cementing","201412",0.01184,0.011149,0.012531,0.013822,0.007621,0.018405,
"Cementing","201501",0.011974,0.011172,0.012776,0.01333,0.005046,0.016205,
"Cementing","201502",0.012359,0.011556,0.013162,0.013798,0.006502,0.016706,
"Cementing","201503",0.013135,0.012423,0.013847,0.014987,0.006988,0.016313,
"Cementing","201504",0.015135,0.014434,0.015835,0.014924,0.007436,0.01681,
"Cementing","201505",0.013677,0.01298,0.014375,0.013817,0.008187,0.019229,
"Cementing","201506",0.01409,0.013175,0.015006,0.014039,0.007596,0.019469,
"Cementing","201507",0.013449,0.012627,0.01427,0.014556,0.006708,0.01793,
"Cementing","201508",0.013972,0.012905,0.015038,0.013787,0.007034,0.022763,
"Cementing","201509",0.012886,0.011845,0.013927,0.014001,0.006054,0.022446,
"Cementing","201510",0.013612,0.012647,0.014578,0.013854,0.009612,0.017107,
"Cementing","201511",0.014412,0.01322,0.015604,0.014367,0.006466,0.02393,
"Cementing","201512",0.013465,0.012554,0.014376,0.013694,0.011472,0.017526,
"Cementing","201601",0.014784,0.013759,0.01581,0.014144,0.008496,0.020309,
"Cementing","201602",0.015176,0.014363,0.015989,0.014074,0.009175,0.020329,
"Cementing","201603",0.013364,0.012257,0.014471,0.014622,0.004082,0.017063,
"Cementing","201604",0.01423,0.013523,0.014936,0.014073,0.008746,0.015837,
"Cementing","201605",0.014492,0.013598,0.015386,0.014164,0.007697,0.015533,
"Cementing","201606",0.014928,0.014175,0.015681,0.014104,0.010347,0.017465,
