,"Brent crude oil spot price, Monthly /// units: dollars per barrel /// most recent data point: 202312 /// last updated: 2022-08-09T12:03:48-0400",
,date,value
356,199404,15.231
357,199403,13.822
358,199402,13.802
359,199401,14.291
360,199312,13.725
361,199311,15.196
362,199310,16.606
363,199309,16.011
364,199308,16.696
365,199307,16.775
366,199306,17.652
367,199305,18.507
368,199304,18.674
369,199303,18.785
370,199302,18.466
371,199301,17.386
372,199212,18.139
373,199211,19.214
374,199210,20.261
375,199209,20.27
376,199208,19.738
377,199207,20.236
378,199206,21.158
379,199205,19.888
380,199204,18.919
381,199203,17.63
382,199202,18.053
383,199201,18.163
384,199112,18.41
385,199111,21.108
386,199110,22.206
387,199109,20.501
388,199108,19.772
389,199107,19.396
390,199106,18.167
391,199105,19.186
392,199104,19.18
393,199103,19.082
394,199102,19.536
395,199101,23.566
396,199012,28.273
397,199011,33.067
398,199010,36.022
399,199009,34.899
400,199008,27.167
401,199007,17.169
402,199006,15.104
403,199005,16.352
404,199004,16.612
405,199003,18.387
406,199002,19.813
407,199001,21.251
