,"West Texas Intermediate Crude Oil Price, Monthly /// units: dollars per barrel /// most recent data point: 202312 /// last updated: 2022-08-09T12:03:48-0400",
151,201105,100.9
152,201104,109.533
153,201103,102.857
154,201102,88.578
155,201101,89.171
156,201012,89.146
157,201011,84.253
158,201010,81.893
159,201009,75.242
160,201008,76.599
161,201007,76.32
162,201006,75.336
163,201005,73.744
164,201004,84.293
165,201003,81.203
166,201002,76.387
167,201001,78.326
168,200912,74.47
169,200911,77.99
170,200910,75.715
171,200909,69.408
172,200908,71.045
173,200907,64.152
174,200906,69.641
175,200905,59.029
176,200904,49.647
177,200903,47.939
178,200902,39.087
179,200901,41.71
180,200812,41.122
181,200811,57.309
182,200810,76.609
183,200809,104.114
184,200808,116.666
185,200807,133.371
186,200806,133.88
187,200805,125.398
188,200804,112.58
189,200803,105.454
190,200802,95.386
191,200801,92.97
192,200712,91.687
193,200711,94.772
194,200710,85.799
195,200709,79.915
196,200708,72.356
197,200707,74.118
198,200706,67.489
199,200705,63.455
200,200704,63.977
201,200703,60.442
202,200702,59.279
203,200701,54.506
204,200612,61.959
205,200611,59.083
206,200610,58.893
207,200609,63.798
208,200608,73.043
209,200607,74.411
210,200606,70.951
211,200605,70.844
212,200604,69.444
213,200603,62.685
214,200602,61.631
215,200601,65.485
216,200512,59.412
217,200511,58.323
218,200510,62.26
219,200509,65.587
220,200508,64.985
221,200507,58.996
222,200506,56.352
223,200505,49.834
224,200504,52.979
225,200503,54.187
226,200502,48.149
227,200501,46.837
228,200412,43.15
229,200411,48.469
230,200410,53.28
231,200409,45.936
232,200408,44.903
233,200407,40.778
234,200406,38.025
235,200405,40.275
236,200404,36.75
237,200403,36.741
238,200402,34.685
239,200401,34.31
240,200312,32.129
241,200311,31.108
242,200310,30.338
243,200309,28.311
244,200308,31.574
245,200307,30.755
246,200306,30.662
247,200305,28.109
248,200304,28.17
249,200303,33.513
250,200302,35.828
251,200301,32.947
252,200212,29.461
253,200211,26.352
254,200210,28.837
255,200209,29.664
256,200208,28.385
257,200207,26.966
258,200206,25.519
259,200205,27.041
260,200204,26.179
261,200203,24.531
262,200202,20.724
263,200201,19.715
264,200112,19.389
265,200111,19.635
266,200110,22.17
267,200109,26.199
268,200108,27.374
269,200107,26.425
270,200106,27.599
271,200105,28.629
272,200104,27.49
273,200103,27.245
274,200102,29.609
275,200101,29.586
276,200012,28.437
277,200011,34.417
278,200010,33.109
279,200009,33.884
280,200008,31.264
281,200007,29.697
282,200006,31.822
283,200005,28.788
284,200004,25.722
285,200003,29.842
286,200002,29.366
287,200001,27.259
288,199912,26.102
289,199911,25.002
290,199910,22.691
291,199909,23.797
292,199908,21.279
293,199907,20.103
294,199906,17.923
295,199905,17.719
296,199904,17.312
297,199903,14.677
298,199902,12.014
299,199901,12.515
300,199812,11.347
301,199811,13.002
302,199810,14.461
303,199809,15.031
304,199808,13.472
305,199807,14.173
306,199806,13.722
307,199805,14.914
308,199804,15.354
309,199803,15.115
310,199802,16.06
311,199801,16.724
312,199712,18.333
313,199711,20.194
314,199710,21.325
315,199709,19.803
316,199708,19.953
317,199707,19.664
318,199706,19.26
319,199705,20.819
320,199704,19.695
321,199703,20.965
322,199702,22.176
323,199701,25.132
324,199612,25.229
325,199611,23.705
326,199610,24.879
327,199609,23.972
328,199608,21.903
329,199607,21.302
330,199606,20.424
331,199605,21.165
332,199604,23.497
333,199603,21.332
334,199602,19.094
335,199601,18.855
336,199512,19.027
337,199511,17.993
338,199510,17.433
339,199509,18.226
340,199508,18.021
341,199507,17.326
342,199506,18.446
343,199505,19.742
344,199504,19.896
345,199503,18.539
346,199502,18.57
347,199501,18.04
348,199412,17.16
349,199411,18.07
350,199410,17.716
351,199409,17.446
352,199408,18.383
353,199407,19.655
354,199406,19.06
355,199405,17.889
356,199404,16.42
357,199403,14.681
358,199402,14.781
359,199401,15.027
360,199312,14.515
361,199311,16.609
362,199310,18.153
363,199309,17.504
364,199308,18.01
365,199307,17.89
366,199306,19.094
367,199305,19.95
368,199304,20.253
369,199303,20.322
370,199302,20.086
371,199301,19.032
372,199212,19.414
373,199211,20.339
374,199210,21.686
375,199209,21.881
376,199208,21.339
377,199207,21.775
378,199206,22.385
379,199205,20.976
380,199204,20.23
381,199203,18.922
382,199202,19.013
383,199201,18.785
384,199112,19.498
385,199111,22.461
386,199110,23.231
387,199109,21.887
388,199108,21.694
389,199107,21.403
390,199106,20.189
391,199105,21.232
392,199104,20.83
393,199103,19.902
394,199102,20.478
395,199101,25.234
396,199012,27.281
397,199011,32.332
398,199010,36.04
399,199009,33.508
400,199008,27.307
401,199007,18.454
402,199006,16.695
403,199005,18.2
404,199004,18.426
405,199003,20.388
406,199002,22.113
407,199001,22.863
